skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
AI/ML,,,10,Agile Project Manager - Everforth ECS; Middle Project Manager - NineTwoThree AI Studio; Product Manager 1 - (AI Focus) - Principal Financial Group; Technical Program Manager - AI & Security/Executive /leadershp level communication - Ahura Workforce Solutions; AI Application Specialist - Motorola Solutions
PMO,,,10,Associate Project Manager - RemoteHunter; IT Business Analyst III - Gama-1 Technologies; Project Management Officer - HFM; Project Manager - RedStream Technology; Project Manager - The Project Shop
QA coordination,,,10,Delivery Lead - Halo Media; Middle Project Manager - NineTwoThree AI Studio; Product Owner - Realtime Clinical Trial Management Systems; Technical Client Engagement Manager - Aspira; Technical Project Manager - Insight Global
Waterfall,,,10,Associate Project Manager - RemoteHunter; IT Business Analyst III - Gama-1 Technologies; Middle Project Manager - NineTwoThree AI Studio; Project Manager - RedStream Technology; Project Manager - The Project Shop
Agile metrics,,,9,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Product Operations Associate - Victory Live; Product Owner - Mutual of Omaha; Project Coordinator (Scrum) - OP
Azure,,,9,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Project Manager - RedStream Technology; Scrum Master - Helic & Co.; Technical Program Manager - Hanson Consulting Group
Backlog management,,,9,"Associate Product Manager - Mastery Logistics Systems, Inc.; Delivery Lead - Halo Media; Product Owner - Mutual of Omaha; Product Owner - Realtime Clinical Trial Management Systems; Technical Client Engagement Manager - Aspira"
Federal government contracting,,,9,IT Business Analyst III - Gama-1 Technologies; Lead Technical Project Manager - Remote - Experian; Product Manager I - Ad Hoc; Product Operations Associate - Victory Live; Product Owner - Realtime Clinical Trial Management Systems
Product ownership,,,9,Delivery Lead - Halo Media; IT Business Analyst III - Gama-1 Technologies; Product Manager I - Ad Hoc; Product Owner - Mutual of Omaha; Product Owner - Realtime Clinical Trial Management Systems
Release planning,,,9,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Delivery Lead - Halo Media; Project Coordinator - Tundra Technical Solutions; PROJECT MANAGER - Atos
User stories,,,9,IT Business Analyst III - Gama-1 Technologies; Junior Project Manager - NineTwoThree AI Studio; Middle Project Manager - NineTwoThree AI Studio; Product Manager I - Ad Hoc; Product Owner - Realtime Clinical Trial Management Systems
Acceptance criteria,,,8,Junior Project Manager - NineTwoThree AI Studio; Middle Project Manager - NineTwoThree AI Studio; Product Owner - Mutual of Omaha; Product Owner - Realtime Clinical Trial Management Systems; Project Coordinator - Sourcedpeople
Cross-functional leadership,,,8,"Technical Project Manager - Norstella; Associate Project Manager (Digital, Pharma Agency) - Avalere Health; Business Analyst - SaaS - Motorola Solutions; Client Project Manager - Thomson Reuters; Client Project Manager - Thomson Reuters"
Delivery management,,,8,Delivery Lead - Halo Media; Technical Program Manager - AI & Security/Executive /leadershp level communication - Ahura Workforce Solutions; Commercial Delivery Manager - The Insurer - Thomson Reuters; Customer Strategy and Delivery Lead - Keebler Health; Delivery Lead - RELISH
Schedule management,,,8,Junior Project Manager - NineTwoThree AI Studio; Technical Program Manager - Abnormal AI; Technical Project Manager - Yalo; Associate Project Manager - System Automation Corporation; Associate Technical Program Manager - Guidewire
Training enablement,,,8,Lead Technical Project Manager - Remote - Experian; Client Project Manager - Thomson Reuters; Customer Success Engineer (Americas) - Deepgram; Delivery Lead - RELISH; Delivery Lead - RWS Group
UX,,,8,Project Management Officer - HFM; PROJECT MANAGER - Atos; PROJECT MANAGER - Atos; Project Manager (English Speaking) - Jobgether; Analytics Product Manager - Cotiviti
Asana,,,7,Project Manager - The Project Shop; Implementation Manager - avante; Implementation Project Manager - Attentive; Implementation Project Manager - Medallion; Implementation Project Manager - Medallion
CSM,,,7,Project Coordinator (Scrum) - OP; Project Manager - 6ix; Scrum Master - Helic & Co.; Technical Project Manager - System One; Customer Success Engineer (Americas) - Deepgram
Data analysis,,,7,"Associate Project Manager, Product and Data - Horizon Media; Analytics Product Manager - Cotiviti; Application Specialist - Motorola Solutions; Associate Consultant - 26187 - Enverus; Business Analyst - SaaS - Motorola Solutions"
Power BI,,yes,7,Project Coordinator (Scrum) - OP; Technical Project Manager - System One; Technical Project Manager - Yalo; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; GERENTE DE PROJETO - CAST
Azure DevOps,,,6,Project Manager - RedStream Technology; Scrum Master - Helic & Co.; Technical Program Manager - Hanson Consulting Group; Application Specialist - Motorola Solutions; DC to Cloud Scrum Master/Project Manager - Sogeti
ClickUp,,,6,Project Management Officer - HFM; Project Manager - The Project Shop; Implementation Project Manager - Medallion; Implementation Project Manager - Medallion; IT Project Manager - OpenLoop
Healthcare technology,,,6,Customer Strategy and Delivery Lead - Keebler Health; General Program Manager - AnsibleHealth; Implementation Manager - avante; Implementation Manager (AI / HealthTech) - evoke; Implementation Project Manager - Medallion
Issue management,,,6,Technical Project Manager - Norstella; Client Program Manager - Academian; General Program Manager - AnsibleHealth; Implementation Project Manager - Medallion; Implementation Project Manager - Medallion
Kanban,,,6,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Junior Project Manager - NineTwoThree AI Studio; GERENTE DE PROJETO - CAST; Information Technology Project Manager - Wilson & Sterling Consulting
Monday.com,,,6,"Associate Project Manager, Product and Data - Horizon Media; Project Manager - The Project Shop; Associate Technical Program Manager - Guidewire; Director, Program Management, Office of the COO - Horizon Media; Director, Program Management, Product and Data (Temp) - Horizon Media"
Problem solving,,,6,(US) Customer Operation Launch Manager - PointClickCare; Client Project Manager - Thomson Reuters; Client Project Manager - Thomson Reuters; Decision Strategy Management – Dialer and Campaign Management Strategist - BMO; Implementation Specialist - PatientNOW
Resource planning,,,6,Project Manager | Remote - Crossing Hurdles; Technical Program Manager - Abnormal AI; Associate Project Manager - System Automation Corporation; Digital Producer (Project Manager) - Sia/Ready Set Rocket; General Program Manager - AnsibleHealth
Sprint reviews,,,6,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; IT Business Analyst III - Gama-1 Technologies; Product Manager I - Ad Hoc; Scrum Master - Helic & Co.
